TRACTFIPS,STATE,COUNTY,POPULATION,RISK_SCORE,RISK_RATNG,hurricane_risk,flood_risk,tornado_risk,my_risk_score,my_risk_rating,RPL_THEMES
22097960601,Louisiana,St. Landry,4653,86.86557579793558,Relatively High,98957.30089445498,0.0,2433.5365239871767,99.96969889072342,Relatively Low,0.8204
22097960602,Louisiana,St. Landry,1875,78.83032868762784,Relatively Moderate,74697.5684528944,0.0,1603.2341182427779,99.96971605857959,Relatively Moderate,0.6122
22097960701,Louisiana,St. Landry,2303,66.71740474718166,Relatively Moderate,60327.17067743852,0.0,1535.0412592675607,99.96969806596209,Relatively Low,0.4311
22097960702,Louisiana,St. Landry,3437,70.23379156162298,Relatively Moderate,82272.71269437458,0.0,1600.5642446295365,99.96969461983439,Relatively Low,0.357
22097960800,Louisiana,St. Landry,3868,94.59996194643962,Relatively High,145190.44888860875,0.0,4510.070142363359,99.9697156427724,Relatively Moderate,0.6862
22097960901,Louisiana,St. Landry,1578,84.4016077629263,Relatively Moderate,66970.51999410373,0.0,43.496707112520404,99.96972245887001,Relatively Moderate,0.7551
22097960902,Louisiana,St. Landry,1991,88.63030966084764,Relatively High,54156.00751469133,0.0,46.510159201822944,99.96970870689881,Relatively Low,0.9809
22097961000,Louisiana,St. Landry,2032,87.636160395757,Relatively High,58017.96928017534,0.0,60.91325223960252,99.96970857111326,Relatively Low,0.8798
22097961100,Louisiana,St. Landry,3160,92.86257908005517,Relatively High,78612.04182244174,0.0,91.51359920504017,99.9696999407878,Relatively Low,0.6378
22097961200,Louisiana,St. Landry,6072,88.47452789801645,Relatively High,189972.49990944247,0.0,2920.2040964279076,99.96970217069988,Relatively Low,0.3988
22097961301,Louisiana,St. Landry,2154,69.07434714360463,Relatively Moderate,41612.59134199579,0.0,46.392857699247806,99.96969691037727,Relatively Low,0.8746
22097961302,Louisiana,St. Landry,2790,92.10031869856824,Relatively High,66025.9545141124,0.0,84.77949506943226,99.96970379685806,Relatively Low,0.9655
22097961401,Louisiana,St. Landry,1905,79.15021642962469,Relatively Moderate,55252.63749063931,0.0,60.222187919284096,99.96971030255,Relatively Moderate,0.9399
22097961402,Louisiana,St. Landry,1299,53.05379822099605,Relatively Low,38899.95623001236,0.0,30.382654358755037,99.9697078424766,Relatively Low,0.7566
22097961501,Louisiana,St. Landry,1785,57.24087903724492,Relatively Low,38676.950050339394,0.0,28.752440706125718,99.96970020637534,Relatively Low,0.8996
22097961502,Louisiana,St. Landry,2633,78.80059934357608,Relatively Moderate,141535.41144386175,0.0,248.0430516168483,99.96971836074754,Relatively Moderate,0.2705
22097961601,Louisiana,St. Landry,2009,70.65713742091995,Relatively Moderate,59384.09894177874,0.0,68.40399390488082,99.96970804217518,Relatively Low,0.7889
22097961602,Louisiana,St. Landry,1640,50.91447462303192,Relatively Low,24967.350046585627,0.0,24.058457038877318,99.96969039200218,Relatively Low,0.7383
22097961701,Louisiana,St. Landry,4623,89.54002758883128,Relatively High,188518.6098817424,0.0,2260.6227562523104,99.96971536099628,Relatively Moderate,0.5565
22097961702,Louisiana,St. Landry,2688,78.23812015411691,Relatively Moderate,111561.62057871868,0.06864468784883426,1438.8289070134902,99.96970652007317,Relatively Low,0.2119
22097961801,Louisiana,St. Landry,5658,92.4320981781858,Relatively High,159381.15962614564,0.33872976298981483,2869.3848728619246,99.969697601477,Relatively Low,0.3109
22097961802,Louisiana,St. Landry,2164,68.8924035580079,Relatively Moderate,64855.19653739773,0.0,388.5435148026669,99.96969764235678,Relatively Low,0.2419
22097961900,Louisiana,St. Landry,3206,83.73923797745324,Relatively Moderate,120213.2746108805,0.0,535.2633919096322,99.96971858408298,Relatively Moderate,0.8277
22099020101,Louisiana,St. Martin,2922,94.78428387956048,Relatively High,192834.05227171886,168.49891049878784,4146.086289479934,99.96972049909671,Relatively Moderate,0.0718
22099020102,Louisiana,St. Martin,1926,87.94653474765731,Relatively High,98484.40623041251,27755.866014549414,3666.0495752383513,99.96971913409634,Relatively Moderate,0.0455
22099020201,Louisiana,St. Martin,5806,97.86424392332208,Very High,294140.407258671,143.66182060375343,1897.4021762728125,99.96972761971583,Relatively Moderate,0.6166
22099020202,Louisiana,St. Martin,1424,84.90700661180611,Relatively Moderate,58616.54285430902,60.84517956830155,194.023411456125,99.96970622800563,Relatively Low,0.2163
22099020301,Louisiana,St. Martin,4657,93.521381344242,Relatively High,227126.337128228,113.66096470134998,839.2576370828707,99.96971537221869,Relatively Moderate,0.3065
22099020303,Louisiana,St. Martin,5271,91.48313751605384,Relatively High,214380.67075113923,63.411424068667216,649.0397791139578,99.96971299718025,Relatively Moderate,0.4802
22099020304,Louisiana,St. Martin,2732,95.63692146696476,Relatively High,124051.56336454282,87.98082519005236,262.6776775388069,99.96972108513697,Relatively Moderate,0.5924
22099020401,Louisiana,St. Martin,5006,97.67040860010464,Very High,329358.90458036284,140.3117924703837,1343.036057320411,99.9697456057901,Relatively High,0.6547
22099020402,Louisiana,St. Martin,1511,67.74366170384816,Relatively Moderate,72634.22915155832,24.07718689733813,219.467152029418,99.96972529985383,Relatively Moderate,0.6356
22099020502,Louisiana,St. Martin,3684,93.50473291157304,Relatively High,272556.2359837802,79.40497660298699,251.4309958773295,99.96976627786054,Relatively High,0.8922
22099020503,Louisiana,St. Martin,2407,89.88845550111782,Relatively High,191552.24343262578,89.1107628009102,206.19087489111033,99.96973748885881,Relatively Moderate,0.2177
22099020504,Louisiana,St. Martin,2855,91.52832611901253,Relatively High,135255.3490224511,69.86288678885913,698.2608364082353,99.96973097342978,Relatively Moderate,0.8358
22099020601,Louisiana,St. Martin,2834,95.44546449127145,Relatively High,412468.2320748295,139.20722632342247,2235.4955340989723,99.969784279779,Very High,0.1444
