TRACTFIPS,STATE,COUNTY,POPULATION,RISK_SCORE,RISK_RATNG,hurricane_risk,flood_risk,tornado_risk,my_risk_score,my_risk_rating,RPL_THEMES
51133020302,Virginia,Northumberland,3008,92.90182181420349,Relatively High,384417.4271945188,6917958.932459547,1147.1760359467257,99.98996835335277,Very High,0.1879
51135000101,Virginia,Nottoway,2201,37.776482899681305,Relatively Low,28245.46661714755,0.0,114.92935481528069,99.98695743309493,Relatively High,0.777
51135000102,Virginia,Nottoway,3578,64.47343385815535,Relatively Moderate,40953.49311511881,0.0,919.1509462180362,99.9869569787167,Relatively High,0.9366
51135000200,Virginia,Nottoway,2523,38.55777006136137,Relatively Low,17792.12186497159,0.0,756.5824728916514,99.98694402569295,Relatively High,0.4035
51135000300,Virginia,Nottoway,7328,71.01151120201685,Relatively Moderate,27613.837705863727,0.0,1543.395600612684,99.98694111722932,Relatively Moderate,0.8954
51135980100,Virginia,Nottoway,8,10.946344479855396,Very Low,13799.487463728761,0.0,129.71499932500794,99.98855583996382,Very High,0.0005
51137110104,Virginia,Orange,3418,36.36136612281787,Relatively Low,16643.37300711726,0.0,532.0630532572192,99.98694091362242,Relatively Moderate,0.4452
51137110105,Virginia,Orange,4815,66.52832611901252,Relatively Moderate,25001.714500943403,0.0,1716.1265353347867,99.98694207901356,Relatively High,0.5373
51137110106,Virginia,Orange,4181,63.11777576939542,Relatively Moderate,20248.23651533258,0.0,914.5768215626018,99.98694053353181,Relatively Moderate,0.3707
51137110107,Virginia,Orange,4863,40.616229843504726,Relatively Low,28171.03617669604,0.0,113.33163046315951,99.98693987741797,Relatively Moderate,0.062
51137110108,Virginia,Orange,6855,60.88212909670361,Relatively Low,45815.068413030196,0.0,795.0554185205657,99.98694190703826,Relatively High,0.2004
51137110200,Virginia,Orange,5415,77.52937259192313,Relatively Moderate,31759.840165045684,0.0,600.7295553456551,99.9869448633844,Relatively High,0.8413
51137110301,Virginia,Orange,3400,70.73324454169243,Relatively Moderate,30368.06046280527,0.0,526.8130123146052,99.98695179422924,Relatively High,0.9412
51137110302,Virginia,Orange,3258,52.01208200542264,Relatively Low,21777.586532138637,0.0,912.2348098445976,99.98694297057575,Relatively High,0.3341
51139030100,Virginia,Page,2560,51.0583646482424,Relatively Low,5949.877506253243,0.0,224.0384499766789,99.98693722923646,Relatively Low,0.541
51139030200,Virginia,Page,4141,73.45407410930885,Relatively Moderate,12515.118582178171,0.0,612.5982081040735,99.98693862045961,Relatively Moderate,0.6053
51139030300,Virginia,Page,4963,49.78832707035152,Relatively Low,12129.639587905685,0.0,415.1401741193946,99.98693767889631,Relatively Moderate,0.6395
51139030401,Virginia,Page,2166,18.159872520572705,Very Low,3063.9519704405775,0.0,80.66286650022317,99.98693592536524,Relatively Low,0.6816
51139030402,Virginia,Page,3993,39.32954383294487,Relatively Low,6799.341272673949,0.0,84.76241270527144,99.98693621159998,Relatively Low,0.565
51139030500,Virginia,Page,5875,55.36555201446034,Relatively Low,11257.311985973898,0.0,490.5989953903444,99.98693685106363,Relatively Low,0.6798
51141030101,Virginia,Patrick,2459,21.01626789706512,Very Low,4976.208937802006,0.0,379.6611827216577,99.9869364614407,Relatively Low,0.3896
51141030102,Virginia,Patrick,2288,24.198496884364744,Very Low,4321.563102945662,0.0,287.49573861669757,99.98693679244364,Relatively Low,0.6571
51141030201,Virginia,Patrick,2881,9.883223136564714,Very Low,845.4929063204363,0.0,215.8073071600827,99.98693386410031,Very Low,0.3628
51141030202,Virginia,Patrick,3043,27.082243257384768,Very Low,5160.972322643465,0.0,627.9415236319204,99.98693580506513,Relatively Low,0.2758
51141030301,Virginia,Patrick,3048,33.19340722066308,Relatively Low,5141.719478081048,0.0,245.30352486859482,99.98693672599873,Relatively Low,0.8357
51141030302,Virginia,Patrick,3885,26.551871759501495,Very Low,5785.47930182636,0.0,312.03555245499905,99.98693565746495,Relatively Low,0.4091
51143010100,Virginia,Pittsylvania,3911,31.615373638396044,Relatively Low,7214.47329913013,0.0,516.8990848706221,99.98693655808604,Relatively Low,0.5757
51143010200,Virginia,Pittsylvania,4117,45.284926033392,Relatively Low,7919.67983909603,0.0,137.26505211167762,99.98693705499882,Relatively Low,0.795
51143010301,Virginia,Pittsylvania,1225,10.165057318175332,Very Low,2217.6480623313582,0.0,34.678597883340814,99.98693678006538,Relatively Low,0.7668
51143010302,Virginia,Pittsylvania,2658,40.50563668363221,Relatively Low,6454.914249385101,0.0,279.57136231007644,99.98693767358816,Relatively Moderate,0.6409
51143010400,Virginia,Pittsylvania,3784,33.90572230414308,Relatively Low,8787.058722360853,0.0,761.7833920617724,99.9869372725909,Relatively Low,0.5229
51143010500,Virginia,Pittsylvania,5238,55.53203634115017,Relatively Low,16073.855052269259,0.0,768.0182881425436,99.98693943091723,Relatively Moderate,0.8269
51143010600,Virginia,Pittsylvania,2907,34.92127669695096,Relatively Low,7168.875210193142,0.0,137.90064015489435,99.98693842108344,Relatively Moderate,0.9204
51143010700,Virginia,Pittsylvania,1647,24.43989915806497,Very Low,3652.165379750578,0.0,397.9063024233041,99.98693823538608,Relatively Moderate,0.9699
51143010801,Virginia,Pittsylvania,2396,8.980640251153499,Very Low,4694.498301599555,0.0,84.51904901571105,99.98693688679751,Relatively Low,0.6812
51143010803,Virginia,Pittsylvania,2920,15.499690814821864,Very Low,5001.833290883453,0.0,309.5148376684768,99.98693628242128,Relatively Low,0.5567
51143010804,Virginia,Pittsylvania,3008,12.638538743281169,Very Low,4862.130620961833,0.0,332.5265455972824,99.98693581786088,Relatively Low,0.3804
51143010900,Virginia,Pittsylvania,2686,19.432288445987727,Very Low,7301.91901838706,0.0,298.1192065440304,99.98693838870419,Relatively Moderate,0.7126
51143011001,Virginia,Pittsylvania,4360,38.802739856347806,Relatively Low,9786.957913660095,0.0,357.6055059453717,99.98693783553462,Relatively Moderate,0.8482
51143011002,Virginia,Pittsylvania,4504,29.86015316558056,Relatively Low,10282.365756168545,0.0,273.6905465000295,99.98693729105618,Relatively Low,0.6025
51143011100,Virginia,Pittsylvania,2818,19.173048565856444,Very Low,6312.077375751476,0.0,244.35384149826797,99.98693719084181,Relatively Low,0.5821
51143011200,Virginia,Pittsylvania,2329,22.60381486942872,Very Low,5456.917854300271,0.0,81.57203101379648,99.98693746872445,Relatively Low,0.6423
51143011301,Virginia,Pittsylvania,3858,29.91247681111164,Relatively Low,8493.997344891031,0.0,47.91107454711475,99.98693697434246,Relatively Low,0.5428
51143011302,Virginia,Pittsylvania,2541,12.530323930932788,Very Low,4592.790020811019,0.0,27.726132972483825,99.98693653129274,Relatively Low,0.6469
51143011400,Virginia,Pittsylvania,3593,44.16829187080816,Relatively Low,13285.540677690484,0.0,249.20771624296762,99.9869402019521,Relatively Moderate,0.7344
51145500101,Virginia,Powhatan,6763,39.39732673738286,Relatively Low,22000.804130982524,0.0,1920.895348474905,99.98693716631509,Relatively Low,0.0569
51145500102,Virginia,Powhatan,5856,29.164486514769536,Relatively Low,23842.4851977778,0.0,778.4905363060377,99.98693800079145,Relatively Moderate,0.0588
51145500201,Virginia,Powhatan,6105,35.948722827379534,Relatively Low,14811.48851522064,0.0,1182.1274290419974,99.98693649583205,Relatively Low,0.1698
51145500202,Virginia,Powhatan,4242,20.779622318413164,Very Low,23936.087686762996,0.0,553.1700216052056,99.98693949937484,Relatively Moderate,0.0171
51145500300,Virginia,Powhatan,1469,4.611615849307901,Very Low,1685.7994899476998,0.0,54.187904553624456,99.98693517069736,Very Low,0.4521
